Title,City,Latitude,Longitude,Date,Severity,Type of threat,Attendees,Reported via,Reported incidents,Estimated cost,Confirmed %,Turnout rate,Priority,Police informed?,Notes
Online abuse in Edinburgh #948,Edinburgh,55.83733,-3.25804,2001-06-17,High,Online abuse,50-100,Press report,128,18494,12.9,0.384,1,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Belfast #949,Belfast,54.56992,-5.94900,2003-01-10,Critical,Online abuse,50-100,Anonymous tip,177,510,62.0,0.149,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Harassment in Edinburgh #950,Edinburgh,56.03136,-3.06880,2019-01-19,High,Harassment,100-500,Social media,50,6613,10.3,0.435,1,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Assault in Belfast #951,Belfast,54.63728,-6.01313,2003-07-21,Low,Assault,10-50,Social media,156,17183,55.5,0.083,1,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Bristol #952,Bristol,51.41740,-2.60087,2017-03-14,,Vandalism,500-1000,Social media,148,13465,10.3,0.317,3,No,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Liverpool #953,Liverpool,53.39998,-2.90419,2018-11-16,,Online abuse,50-100,Press report,33,7728,84.0,0.620,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Oxford #954,Oxford,51.81814,-1.30644,2024-08-15,High,Leafleting,50-100,Press report,59,9744,53.3,0.874,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Bristol #955,Bristol,51.39849,-2.61193,2013-03-14,Critical,Demonstration,500-1000,Local branch,173,15200,53.2,0.928,5,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Leafleting in Birmingham #956,Birmingham,52.52057,-1.89763,2021-08-25,Low,Leafleting,50-100,Anonymous tip,23,3303,74.2,0.632,4,No,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Dundee #957,Dundee,56.42345,-3.06865,2008-01-10,Critical,Vandalism,500-1000,Partner organisation,59,19515,13.3,0.968,2,Yes,
Assault in Bristol #958,Bristol,51.42165,-2.60874,2015-03-12,Moderate,Assault,500-1000,Social media,4,8450,85.5,0.040,4,Yes,
Stickering in Stoke-on-Trent #959,Stoke-on-Trent,52.98310,-2.23302,2004-09-21,,Stickering,50-100,Social media,129,12319,92.0,0.210,2,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Online abuse in Leicester #960,Leicester,52.68813,-1.19144,2005-03-03,Moderate,Online abuse,50-100,Local branch,17,2435,26.6,0.486,5,No,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Bristol #961,Bristol,51.38248,-2.61522,2024-11-19,High,Leafleting,50-100,Press report,42,11647,9.7,0.952,1,No,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Brighton #962,Brighton,50.90817,-0.14846,2002-02-06,Critical,Harassment,50-100,Press report,54,15500,20.3,0.806,1,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Cardiff #963,Cardiff,51.52027,-3.19003,2024-10-13,Critical,Banner drop,1-10,Press report,89,3246,12.5,0.731,2,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Nottingham #964,Nottingham,52.94049,-1.20671,2007-12-23,High,Leafleting,1-10,Social media,127,14383,17.7,0.942,5,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Assault in Stoke-on-Trent #965,Stoke-on-Trent,53.03189,-2.16482,2021-08-18,Moderate,Assault,50-100,Press report,158,9784,59.7,0.108,2,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Demonstration in Brighton #966,Brighton,50.79826,-0.06682,2016-11-16,Low,Demonstration,500-1000,Anonymous tip,70,13981,49.7,0.177,2,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Belfast #967,Belfast,54.56823,-5.97475,2009-04-27,Low,Leafleting,10-50,Press report,56,18755,92.0,0.762,1,Yes,
Leafleting in Exeter #968,Exeter,50.63360,-3.53298,2014-07-02,,Leafleting,N/A,Partner organisation,101,7432,28.1,0.703,1,,
Vandalism in Leeds #969,Leeds,53.81775,-1.49114,2016-04-15,Low,Vandalism,100-500,Local branch,43,4091,2.8,0.925,2,Yes,
Assault in Hull #970,Hull,53.73561,-0.27339,2004-01-20,Critical,Assault,500-1000,Press report,190,13628,18.9,0.303,2,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Dundee #971,Dundee,56.42002,-2.90852,2015-04-06,High,Leafleting,1-10,Anonymous tip,59,6677,17.7,0.530,3,No,Linked to a wider pattern of activity across the region according to partner organisations
Assault in Glasgow #972,Glasgow,55.93048,-4.29390,2022-11-09,Moderate,Assault,500-1000,Local branch,91,17456,73.6,0.405,1,Yes,
Demonstration in Plymouth #973,Plymouth,50.42426,-4.26965,2020-10-06,Critical,Demonstration,10-50,Social media,196,18086,18.8,0.806,2,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Demonstration in Hull #974,Hull,53.72244,-0.29613,2012-09-08,Moderate,Demonstration,500-1000,Partner organisation,66,17037,81.4,0.862,1,No,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Bristol #975,Bristol,51.56857,-2.60327,2003-06-16,,Online abuse,100-500,Anonymous tip,171,7136,34.2,0.099,1,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Newcastle #976,Newcastle,55.05627,-1.57819,2025-04-21,,Online abuse,10-50,Press report,151,16921,55.6,0.251,3,,Details unverified — cross-check with the regional organiser before publishing anywhere
Leafleting in York #977,York,53.98576,-1.18703,2013-06-07,Moderate,Leafleting,500-1000,Anonymous tip,101,19218,51.8,0.258,1,No,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Newcastle #978,Newcastle,54.94663,-1.64914,2019-03-03,Critical,Leafleting,50-100,Local branch,197,4723,38.6,0.038,2,Yes,
Stickering in Southampton #979,Southampton,50.87399,-1.34048,2002-08-25,Moderate,Stickering,10-50,Local branch,81,8529,46.4,0.425,5,No,Second occurrence at this location this year; residents have asked for a coordinated response
Stickering in Portsmouth #980,Portsmouth,50.84109,-1.05906,2017-06-20,Critical,Stickering,10-50,Anonymous tip,145,10056,24.0,0.539,4,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in York #981,York,53.93803,-1.04975,2002-09-22,Critical,Banner drop,500-1000,Press report,17,11009,26.3,0.282,2,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Stickering in Hull #982,Hull,53.73211,-0.37574,2011-04-18,Critical,Stickering,10-50,Anonymous tip,90,19589,8.4,0.683,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Hull #983,Hull,53.85985,-0.31559,2006-12-28,Low,Vandalism,50-100,Local branch,144,15552,76.0,0.915,5,Yes,
Banner drop in Brighton #984,Brighton,50.82689,-0.24116,,Critical,Banner drop,500-1000,Social media,131,10954,49.4,0.769,4,Yes,
Leafleting in Exeter #985,Exeter,50.64933,-3.52162,2026-11-17,Low,Leafleting,100-500,Local branch,113,9540,40.5,0.297,2,Yes,
Online abuse in York #986,York,53.92313,-1.07618,2003-12-21,High,Online abuse,1-10,Anonymous tip,87,446,16.2,0.493,5,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Brighton #987,Brighton,50.85798,-0.02952,2000-06-23,Low,Vandalism,500-1000,Anonymous tip,11,19301,2.5,0.556,2,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Dundee #988,Dundee,56.52378,-3.02274,2020-02-02,Critical,Harassment,10-50,Partner organisation,4,3086,60.1,0.170,2,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Cambridge #989,Cambridge,52.32685,0.13737,2010-05-20,Low,Vandalism,10-50,Press report,154,15426,73.9,0.286,4,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Cambridge #990,Cambridge,52.11659,0.02849,2015-12-06,Low,Demonstration,N/A,Social media,191,11106,44.4,0.503,2,No,
Banner drop in Aberdeen #991,Aberdeen,57.16814,-2.07145,2024-09-07,Critical,Banner drop,50-100,Anonymous tip,74,341,47.7,0.730,2,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Edinburgh #992,Edinburgh,55.97891,-3.25390,2016-12-26,Low,Banner drop,500-1000,Social media,174,744,50.6,0.301,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Assault in Cardiff #993,Cardiff,51.43552,-3.23850,2006-07-06,Moderate,Assault,500-1000,Anonymous tip,125,12673,65.9,0.277,2,No,Second occurrence at this location this year; residents have asked for a coordinated response
Demonstration in Dundee #994,Dundee,56.47117,-2.87655,2004-10-22,Critical,Demonstration,500-1000,Social media,138,17656,77.4,0.541,4,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Stickering in Oxford #995,Oxford,51.80792,-1.26389,2010-09-13,High,Stickering,10-50,Social media,57,11712,44.4,0.788,5,No,Second occurrence at this location this year; residents have asked for a coordinated response
Demonstration in Edinburgh #996,Edinburgh,55.86834,-3.29780,2025-12-10,High,Demonstration,50-100,Anonymous tip,21,19698,38.9,0.783,1,No,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Dundee #997,Dundee,56.45801,-3.11104,2007-05-11,Critical,Online abuse,100-500,Anonymous tip,118,14271,86.3,0.969,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Vandalism in Cambridge #998,Cambridge,52.25854,0.12091,2009-08-05,Moderate,Vandalism,1-10,Local branch,25,16138,5.9,0.772,5,No,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Cardiff #999,Cardiff,51.41243,-3.23927,2001-10-26,Moderate,Leafleting,10-50,Social media,70,16796,67.3,0.577,2,Yes,
Stickering in Exeter #1000,Exeter,50.66494,-3.48301,2011-03-12,Low,Stickering,50-100,Press report,168,2653,20.8,0.049,5,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Oxford #1001,Oxford,51.67418,-1.30469,2020-08-12,Low,Vandalism,10-50,Press report,32,1934,7.2,0.063,4,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Manchester #1002,Manchester,53.46098,-2.20935,2002-11-04,High,Harassment,1-10,Social media,62,7295,71.4,0.408,2,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Demonstration in Southampton #1003,Southampton,50.91000,-1.28353,2005-02-18,High,Demonstration,100-500,Local branch,137,2277,60.0,0.342,4,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Oxford #1004,Oxford,51.72212,-1.29488,2008-08-12,High,Harassment,N/A,Anonymous tip,193,12209,3.9,0.631,5,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Hull #1005,Hull,53.78676,-0.28337,2023-06-08,Moderate,Demonstration,10-50,Anonymous tip,194,661,73.6,0.434,4,No,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Sheffield #1006,Sheffield,53.39314,-1.51454,2015-05-13,Critical,Banner drop,50-100,Press report,145,3839,92.7,0.592,1,No,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Belfast #1007,Belfast,54.72172,-5.92708,2001-06-23,High,Online abuse,N/A,Social media,149,6575,61.6,0.880,3,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Harassment in Bradford #1008,Bradford,53.80527,-1.78538,2019-07-06,,Harassment,100-500,Anonymous tip,115,8946,5.3,0.729,3,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Portsmouth #1009,Portsmouth,50.76528,-1.01017,2023-11-17,Moderate,Vandalism,100-500,Partner organisation,171,10293,46.5,0.432,4,Yes,
Harassment in Dundee #1010,Dundee,56.53899,-2.94301,2023-04-10,Critical,Harassment,500-1000,Partner organisation,58,6391,9.2,0.773,5,,
Vandalism in Oxford #1011,Oxford,51.81561,-1.24591,2012-05-23,Low,Vandalism,500-1000,Press report,168,12630,83.7,0.243,2,No,Second occurrence at this location this year; residents have asked for a coordinated response
Vandalism in Leeds #1012,Leeds,53.77855,-1.60085,2024-07-25,Moderate,Vandalism,100-500,Partner organisation,199,1959,88.0,0.414,4,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in London #1013,London,51.47387,-0.07445,2006-06-15,High,Stickering,1-10,Local branch,116,7835,98.1,0.481,1,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Stickering in Plymouth #1014,Plymouth,50.41123,-4.13133,2001-08-07,Critical,Stickering,50-100,Social media,143,18376,44.2,0.586,4,,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Southampton #1015,Southampton,50.93492,-1.34426,2016-05-17,Moderate,Banner drop,50-100,Press report,183,19643,69.3,0.803,1,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in London #1016,London,51.50202,-0.03588,2008-11-01,High,Banner drop,500-1000,Local branch,86,12052,49.1,0.386,3,No,
Stickering in Hull #1017,Hull,53.76954,-0.29138,2021-12-18,High,Stickering,1-10,Press report,176,1635,17.0,0.571,1,Yes,
Vandalism in Liverpool #1018,Liverpool,53.38489,-3.08443,2012-06-05,,Vandalism,1-10,Partner organisation,166,8906,99.3,0.857,5,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Leicester #1019,Leicester,52.68890,-1.12073,2026-04-23,Low,Assault,1-10,Partner organisation,116,17351,43.2,0.269,1,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Leafleting in Liverpool #1020,Liverpool,53.37172,-2.90812,2020-09-10,High,Leafleting,100-500,Partner organisation,157,5925,43.7,0.485,1,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Stickering in Manchester #1021,Manchester,53.55125,-2.22083,2001-05-09,Moderate,Stickering,500-1000,Anonymous tip,17,13808,17.8,0.965,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in London #1022,London,51.57723,-0.16933,2025-10-26,,Stickering,50-100,Press report,79,8558,18.2,0.461,3,No,
Online abuse in Edinburgh #1023,Edinburgh,55.90628,-3.11562,2022-10-02,High,Online abuse,1-10,Partner organisation,183,5072,25.8,0.991,3,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Coventry #1024,Coventry,52.46499,-1.51227,2008-06-11,Low,Vandalism,100-500,Local branch,41,799,53.2,0.415,1,No,
Stickering in Coventry #1025,Coventry,52.40249,-1.41260,2014-03-24,Moderate,Stickering,10-50,Press report,46,19833,94.4,0.118,5,Yes,
Vandalism in Plymouth #1026,Plymouth,50.46695,-4.09950,2022-08-22,Moderate,Vandalism,50-100,Anonymous tip,56,10520,56.3,0.948,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Banner drop in Nottingham #1027,Nottingham,52.91803,-1.14195,2016-06-05,Critical,Banner drop,1-10,Partner organisation,197,10565,50.1,0.129,4,No,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in Manchester #1028,Manchester,53.42276,-2.28076,2026-09-02,High,Leafleting,500-1000,Partner organisation,92,17151,12.3,0.611,5,No,
Online abuse in Nottingham #1029,Nottingham,52.90292,-1.18328,2025-02-01,,Online abuse,10-50,Local branch,1,12731,18.9,0.659,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Nottingham #1030,Nottingham,52.89644,-1.13131,2001-05-03,Critical,Leafleting,500-1000,Social media,133,3059,84.7,0.062,5,No,Second occurrence at this location this year; residents have asked for a coordinated response
Assault in Aberdeen #1031,Aberdeen,57.08975,-2.10659,2018-04-17,High,Assault,500-1000,Anonymous tip,160,18210,21.0,0.742,4,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Stoke-on-Trent #1032,Stoke-on-Trent,53.07460,-2.12951,2023-08-04,,Online abuse,50-100,Press report,135,14749,39.9,0.354,2,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Harassment in Glasgow #1033,Glasgow,55.87684,-4.26921,2012-02-13,Low,Harassment,100-500,Social media,170,3283,57.0,0.409,4,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in London #1034,London,51.43515,-0.18672,2015-01-21,Critical,Harassment,500-1000,Social media,62,7007,34.3,0.025,3,,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Newcastle #1035,Newcastle,55.02253,-1.55525,2000-05-14,High,Online abuse,50-100,Press report,32,16078,3.8,0.094,3,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Liverpool #1036,Liverpool,53.35411,-3.02238,2023-08-21,Critical,Leafleting,500-1000,Press report,141,1802,70.9,0.319,3,Yes,
Leafleting in Birmingham #1037,Birmingham,52.44287,-1.84960,2016-02-23,Moderate,Leafleting,1-10,Press report,52,5661,52.0,0.416,5,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Leeds #1038,Leeds,53.74107,-1.63539,2019-03-28,Low,Leafleting,50-100,Partner organisation,131,2737,69.8,0.677,5,No,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Portsmouth #1039,Portsmouth,50.80950,-1.18683,2002-05-25,Low,Vandalism,500-1000,Local branch,128,10313,39.7,0.333,1,No,
Online abuse in Hull #1040,Hull,53.73610,-0.33609,2004-11-05,Low,Online abuse,10-50,Social media,163,737,91.1,0.787,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Banner drop in Dundee #1041,Dundee,56.43439,-2.96077,2020-06-02,Moderate,Banner drop,1-10,Social media,110,18958,84.4,0.400,3,,
Assault in Coventry #1042,Coventry,52.46069,-1.61322,2017-01-22,Moderate,Assault,500-1000,Social media,37,1740,28.0,0.685,2,Yes,
Assault in Belfast #1043,Belfast,54.60840,-5.85940,2019-04-26,Low,Assault,500-1000,Anonymous tip,131,13578,9.2,0.164,4,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Online abuse in Nottingham #1044,Nottingham,52.93076,-1.15636,2001-03-05,Critical,Online abuse,1-10,Social media,91,16450,42.9,0.678,2,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Banner drop in Bristol #1045,Bristol,51.48946,-2.64102,2018-09-03,,Banner drop,10-50,Anonymous tip,119,16384,15.5,0.359,2,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Aberdeen #1046,Aberdeen,57.18569,-2.09950,2005-07-18,Low,Harassment,50-100,Local branch,0,4056,95.2,0.050,1,No,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Bradford #1047,Bradford,53.79409,-1.77340,2002-04-05,Low,Banner drop,10-50,Partner organisation,134,7221,59.6,0.464,3,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Birmingham #1048,Birmingham,52.44504,-1.98488,2001-06-13,,Online abuse,50-100,Anonymous tip,12,16186,46.6,0.225,4,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Edinburgh #1049,Edinburgh,55.91131,-3.15368,2010-11-17,High,Harassment,N/A,Anonymous tip,12,4556,60.7,0.114,3,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Bristol #1050,Bristol,51.52289,-2.57582,2024-07-06,Low,Harassment,100-500,Anonymous tip,110,15724,46.1,0.426,1,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Leeds #1051,Leeds,53.75854,-1.61722,2008-07-08,High,Vandalism,50-100,Local branch,103,19865,77.1,0.819,3,No,Linked to a wider pattern of activity across the region according to partner organisations
Assault in York #1052,York,53.96241,-1.00083,2004-11-17,Low,Assault,50-100,Local branch,46,5700,55.9,0.924,5,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Plymouth #1053,Plymouth,50.30492,-4.19259,2007-08-22,Critical,Leafleting,10-50,Local branch,155,17350,90.1,0.351,1,Yes,
Assault in Portsmouth #1054,Portsmouth,50.78438,-0.97551,2021-06-10,,Assault,500-1000,Press report,35,11687,57.8,0.179,1,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Hull #1055,Hull,53.71852,-0.41160,2009-08-25,High,Online abuse,1-10,Social media,195,15941,78.8,0.427,4,No,
Stickering in Sheffield #1056,Sheffield,53.43721,-1.46940,2013-05-01,High,Stickering,1-10,Press report,80,16565,79.8,0.197,5,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Leafleting in Hull #1057,Hull,53.75093,-0.26106,2011-07-16,Critical,Leafleting,50-100,Local branch,24,6755,49.3,0.456,1,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Stickering in London #1058,London,51.47383,-0.17216,2011-02-19,High,Stickering,50-100,Partner organisation,3,11004,10.3,0.586,5,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Portsmouth #1059,Portsmouth,50.86374,-1.11584,2007-03-16,,Assault,50-100,Social media,128,19437,84.3,0.435,1,Yes,
Demonstration in London #1060,London,51.40269,-0.17179,2018-11-01,Critical,Demonstration,500-1000,Local branch,173,17429,14.2,0.893,3,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Swansea #1061,Swansea,51.58771,-3.93242,2020-01-28,Critical,Banner drop,100-500,Partner organisation,89,3313,94.4,0.836,5,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Leicester #1062,Leicester,52.73291,-1.23388,2013-12-13,High,Demonstration,1-10,Partner organisation,89,19346,27.4,0.229,1,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Stickering in Cambridge #1063,Cambridge,52.15596,0.05716,2017-02-06,Critical,Stickering,1-10,Anonymous tip,49,5529,68.0,0.576,5,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Online abuse in Coventry #1064,Coventry,52.39220,-1.52461,2024-08-05,High,Online abuse,100-500,Press report,10,9237,13.0,0.744,2,Yes,
Assault in Exeter #1065,Exeter,50.79436,-3.55082,2015-07-14,Low,Assault,10-50,Local branch,186,17617,49.3,0.114,4,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Leeds #1066,Leeds,53.83663,-1.46195,2014-10-05,High,Harassment,10-50,Anonymous tip,193,17799,16.7,0.795,4,,
Assault in Bradford #1067,Bradford,53.82986,-1.65883,2014-10-20,High,Assault,1-10,Press report,111,7139,22.4,0.711,5,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Bradford #1068,Bradford,53.78352,-1.76828,2015-09-24,Moderate,Vandalism,50-100,Press report,84,11984,16.0,0.860,1,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Belfast #1069,Belfast,54.59586,-5.90912,2015-04-20,High,Banner drop,500-1000,Anonymous tip,11,19821,31.7,0.138,5,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Assault in Belfast #1070,Belfast,54.55176,-5.91954,2001-01-02,Critical,Assault,50-100,Partner organisation,160,18342,96.1,0.084,2,,
Demonstration in Cardiff #1071,Cardiff,51.53512,-3.18787,2004-11-27,Low,Demonstration,1-10,Anonymous tip,156,19554,36.2,0.435,2,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Assault in Stoke-on-Trent #1072,Stoke-on-Trent,52.97896,-2.17987,2026-07-28,Low,Assault,50-100,Local branch,144,4222,52.8,0.212,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Banner drop in Birmingham #1073,Birmingham,52.50818,-1.93010,2023-01-12,Low,Banner drop,10-50,Local branch,112,19125,76.3,0.682,3,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Aberdeen #1074,Aberdeen,57.17141,-2.12360,2010-11-28,High,Online abuse,500-1000,Partner organisation,133,8141,17.4,0.714,5,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Assault in Birmingham #1075,Birmingham,52.45611,-1.88259,2005-04-17,Moderate,Assault,500-1000,Local branch,198,12146,65.6,0.366,2,No,Linked to a wider pattern of activity across the region according to partner organisations
Assault in Newcastle #1076,Newcastle,55.02303,-1.67880,2006-06-15,High,Assault,10-50,Press report,183,17155,25.8,0.762,4,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Leafleting in Plymouth #1077,Plymouth,50.44101,-4.18259,2019-06-01,,Leafleting,1-10,Anonymous tip,167,7121,49.3,0.471,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Portsmouth #1078,Portsmouth,50.80437,-1.07766,2012-05-14,High,Harassment,10-50,Partner organisation,17,7445,22.1,0.261,1,Yes,
Vandalism in Norwich #1079,Norwich,52.58908,1.27345,2006-07-20,Critical,Vandalism,N/A,Press report,34,13557,52.0,0.532,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Harassment in Edinburgh #1080,Edinburgh,55.97294,-3.26487,2009-10-06,,Harassment,10-50,Social media,60,2732,39.0,0.153,5,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in London #1081,London,51.48289,-0.10360,2005-09-11,,Harassment,1-10,Press report,140,9832,96.2,0.002,4,No,
Assault in Brighton #1082,Brighton,50.78850,-0.06646,2014-04-28,Moderate,Assault,100-500,Anonymous tip,9,13967,28.8,0.847,4,No,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Southampton #1083,Southampton,50.97295,-1.33816,2005-04-25,Critical,Harassment,100-500,Anonymous tip,85,11993,61.9,0.140,5,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Vandalism in Bradford #1084,Bradford,53.84146,-1.71611,,Low,Vandalism,500-1000,Local branch,104,17394,99.8,0.599,4,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Liverpool #1085,Liverpool,53.40956,-3.02425,2011-02-25,Moderate,Harassment,100-500,Local branch,154,17696,64.0,0.085,4,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Oxford #1086,Oxford,51.77229,-1.27069,2010-10-13,Critical,Banner drop,100-500,Press report,167,9917,56.9,0.728,5,No,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Coventry #1087,Coventry,52.37869,-1.54299,2004-12-15,Critical,Vandalism,500-1000,Social media,130,7316,75.3,0.665,4,Yes,
Assault in Hull #1088,Hull,53.71934,-0.40383,2014-11-25,Moderate,Assault,10-50,Local branch,97,13769,59.8,0.923,3,Yes,
Harassment in Nottingham #1089,Nottingham,52.99756,-1.17011,2006-04-07,High,Harassment,1-10,Anonymous tip,129,12165,34.1,0.474,3,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Aberdeen #1090,Aberdeen,57.17974,-2.15439,2010-04-13,,Demonstration,N/A,Local branch,41,16904,43.1,0.903,3,No,Linked to a wider pattern of activity across the region according to partner organisations
Stickering in Cambridge #1091,Cambridge,52.15652,0.10986,2016-09-08,Moderate,Stickering,100-500,Press report,146,10999,66.3,0.665,2,Yes,
Demonstration in Norwich #1092,Norwich,52.69804,1.20868,2017-05-06,Critical,Demonstration,10-50,Press report,114,18923,6.1,0.616,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Leafleting in Birmingham #1093,Birmingham,52.56372,-1.85900,2025-05-02,Low,Leafleting,50-100,Social media,87,1134,90.7,0.663,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Harassment in Southampton #1094,Southampton,50.82805,-1.39245,2006-11-05,Critical,Harassment,50-100,Anonymous tip,37,1425,22.6,0.584,4,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Newcastle #1095,Newcastle,55.00938,-1.65704,2018-02-21,Critical,Leafleting,50-100,Anonymous tip,193,5356,23.1,0.874,2,No,Second occurrence at this location this year; residents have asked for a coordinated response
Harassment in Brighton #1096,Brighton,50.86303,-0.13407,2007-03-05,High,Harassment,N/A,Press report,4,9278,68.9,0.060,1,No,
